no,ulasan,GT
1443,"
Sekolah katolik",N
1444,"
Setiap hari ujian, membuat saya menjadi orang sukses",D
1445,"
Mulai kakak saya tertua sampai anak anak saya adalah jebolan Kosayu. Saya sendiri lulusan 89. Sekarang anak terkecil saya masih sekolah di Hwa Ind. Sekolah ini beserta semua guru dan staffnya adalah bagian keluarga, sehingga saya berharap yayasan mampu juga memperhatikan kehidupan dan kesejahteraan semua guru dan staffnya.
Seluruh murid dan alumni adalah keluarga besar yang akan membentuk masa depan bangsa dan negara. Datang dari seluruh penjuru Indonesia, membentuk kita sebagai manusia NKRI yang kaya akan kebanggaan sebagai bangsa Indonesia yang hebat.
Saya berharap Hwa Ind sampai kapanpun akan mampu menjadi institusi pendidikan yang membanggakan, memperhatikan guru dan staffnya, serta berkontribusi nyata dalam menjadikan Indonesia Maju dan Jaya!!!",D
1446,"
Salah satu sekolah SMA Katolik yg terbaik di Malang",D
1447,"
Pertama kali merantau, bertemu banyak teman dari sabang sampai merauke, belajar banyak dari keberagaman, edukasi dan kegiatan mahasiswanya luar biasa. #proudtobekosayu",D
1448,"
Tetap bersemangat !",D
1449,"
Perkenalkan saya David Christian Ferdinand (PEKSY 2016). Pengalaman saya pada saat menempuh studi di SMAK Kolese Santo Yusup ini sangatlah menyenangkan. Apabila dilihat dari segi kualitas sangatlah baik. Tidak hanya soal akademik saja, di jaman saya dulu pihak Sekolah juga sangat memfasilitasi siswa nya untuk bisa berkembang di bidang non-akademik juga baik itu ekstra-kurikuler, organisasi, dan banyak lagi. Lebih hebatnya lagi, sekolah ini juga memiliki banyak sekali channel jalur kerjasama dengan berbagai macam Perguruan Tinggi baik itu Nasional maupun Internasional. Hal ini terlihat jelas pada kegiatan Expo Perguruan Tinggi yang selalu diadakan tiap tahunnya. Saya sendiri juga merasa sangat bangga dengan almamater ini dan menurut saya kualitas pembelajaran di SMA ini sangatlah worthy.",D
1450,"
Sekolah yang sangat berkualitas baik untuk pendidikan akademik dan non akademiknya, selain itu lingkungan sekolah yang sangat sejuk bikin selalu rindu rasanya. Semoga sukses selalu SMAK KOSAYU",D
1451,"
Sekolah yang mengajarkan value terbaik dalam hidup, terutama saat kerja. Saya sangat merasakan kedisiplinan yang diberikan oleh sekolah saat kerja, disiplin dalam mengerjakan tugas, disiplin waktu dan juga tanggung jawab. Sekolah penuh memori, tidak hanya pendidikannnya, tapi hubungan sesama siswa dan guru. TETAP BERSEMANGAT akan selalu di hati :)",D
1452,"
Tempat menimba ilmu ketika SMA
Lingkungannya asri sejuk nyaman",D
1453,"
Bagi saya merupakan sesuatu berharga bisa bersekolah disini. Tempat dimana saya pertama belajar menghargai perbedaan yang merupakan karunia dari Tuhan untuk negara ini...terimakasih sisan diberi kesempatan menjadi bagiannya...",D
1454,"
tetap bersemangat! Terus update pola pembelajaran yang efektif bagi tumbuh kembang anak didik yang optimal!",D
1455,"
Dulu SMA di mana? Di Hua Ind donk. Sekarang fasilitasnya makin lengkap dibanding waktu saya sekolah dl ðŸ‘. Tetap bersemangat ðŸ’ª",D
1456,"
Pengalaman hidup yg gak akan terlupakan di SMAK KOSAYU",D
1457,"
Almamater tercinta",N
1458,"
Separuh hidup sy ada di Kosayu (dr Playgrup smp SMA di blimbing terus) bangga sekali menjadi slh satu alumni dr Kosayu/Hua Ind. Sy rasa sejatim-bali pun sdh mengenal nama besarnya..sekolah yg msh mengedepankan pelajaran akademis, kedisiplinan, tdk boleh bawa hp. Kl soal pelajaran jgn ditanya lagi, jauh lebih takut dengan ujian sekolah drpd ujian nasional. Tetap bersemangatt!! Kosayu tetap di hati,semoga ttp menjadi sekolah unggulan.",D
1459,"
Tak ada kata yang dapat terucap... Selain... Bangga menjadi alumni Hua Ind..âœ¨âœ¨âœ¨",D
1460,"
Tempat bersekolah 1992-1995. Tentu sudah banyak kemajuan dibanding seperempat abad lalu. Tetap Bersemangat",D
1461,"
Saya angkatan 1997. Lulus tahun 2000. A nice Catholic school. Dengan ulangan yg bertubi tubi, tugas tiada akhir. Pengalaman yg di dapat jadi disiplin, mengalami kurikulum absurd, kl mental g kuat bisa jadi pasien psikolog, bahwa di Indonesia yg dipentingkan hasil bukan proses. Begitu.",D
1462,"
Banyak teman dari seluruh Indonesia. Disiplin baik dalam hal akademis maupun non akademis.",D
1463,"
Tempat yg nyeremin tapi asik",D
1464,"
Sekolah yang penuh kenangan. Tempat saya menimba ilmu pertama kali di tanah Jawa. Teman2 dari beragam daerah dan kota berkumpul disini, membuktikan bahwa sekolah ini memang favorit. Sampai sekarang pun tetap menjadi favorit di tengah banyaknya sekolah berlabel internasional. Tetap Bersemangat âœŠ",D
1465,"
Sebagai alumni saya sangat bangga dengan SMAK Kolese Santo Yusup yang telah banyak memberikan banyak baik ilmu, disiplin, tanggung jawab, pertemanan yang bisa diterapkan dalam pekerjaan, maupun kehidupan sehari2.
Dan yang lebih membanggakan anak saya satu2nya dr Bali ngotot sekolah di Malang melihat begitu rekatnya saya dengan ikatan alumni (Peksy), dan akhirnya dia lulus dan dengan bangganya jg dia akhirnya sdh kuliah dan selalu bilang TIDAK MENYESAL sekolah di Hua Ind....
Anak saya menjadi lebih mandiri dan bertanggung jawab serta mempunyai semangat yang luar biasa seperti motto Hua Ind TETAP SEMANGATðŸ‘",D
1466,"
Tidak hanya mendapatkan pendidikan formal, tetapi juga pendidikan karakter disupport oleh lingkungan yang multikultural dan guru-guru berwawasan luas. Thank you HuaInd! Tetap Bersemangat!",D
1467,"
Proud to be Kosayu!! Sekolah Hwaind memiliki sistem yang sangat baik untuk mendidik anak2 baik dari sisi akademis & mentalnya. Kegiatan sekolah semua bermanfaat, seperti Pelangi Bangsaku yang mengenalkan budaya seluruh provinsi di Indonesia. Lalu ada ekspo karir dimana anak2 bisa belajar dari para alumni sebelum menentukan jurusan kuliahnya.
Kegiatan OSIS juga sangat bagus, melatih leadership sejak dini, agar nanti di kampus / dunia kerja sudah terlatih untuk kepengurusan teamwork.",D
1468,"
Tetap bersemangatt!!",D
1469,"
Saya alumni SMAK Kolese Santo Yusup angkatan 82.disiplin, semangat belajar, kekompakan dan kebersamaan selalu menjadi motivasi yg kuat.selalu juara sekolah ku.tetap bersemangat",D
1470,"
Bangga dong jd alumni KosayuðŸ˜Š",D
1471,"
Sekolah terbaik di Malang",D
1472,"
SMAK St. Yusup sudah menjadi seperti sekolah keluarga. Dari om, tante, saya, adik, kakak sepupu, adik sepupu, ponakan-ponakan; banyak yang bersekolah disini. Disiplin, bertanggung jawab, toleransi adalah sebagian dari apa yang saya dapatkan selama bersekolah. Keputusan yang tepat ketika orang tua saya menyekolahkan kami jauh-jauh dari Kupang-NTT kesini.
Suatu kebanggaan menjadi alumni SMAK St. Yusup.
Tetap Jaya. TETAP BERSEMANGAT.",D
1473,"
Disini tempat belajar untuk tetap bersemangat!",D
1474,"
Belajar , belajar, serasa tanpa henti, disiplin ketat utamanya ketika alm Romo Joseph Wang masih memimpin SMAK kosayu, tapi hasil kerja keras para guru dan Romo , membuahkan banyak prestasi yang membanggakan Alma Mater !",D
1475,"
Kosayu = keberagaman
Bersekolah di Kosayu seperti sedang travelling menjelajah Indonesia.
Setelah lulus dari Kosayu, mempunyai teman di seluruh dunia karena alumninya tersebar kemana2.
Terima kasih Bapak&Ibu guru yang telah menemani saya selama berproses di Kosayu.
Tetap bersemangaaaat!",D
1476,"
Saya menempuh pendidikan di Kolese ini bahkan tinggal di asrama. Banyak pelajaran berharga yang saya dapatkan terutama pelajaran hidup dan nilai-nilai kehidupan yang masih menjadi bekal hidup saya sampai saat ini. Guru-gurunya mumpuni. Fasilitasnya memadai.",D
1477,"
Sebagai alumni dan orang tua murid ,saya melihat di masa pandemi ini Hua Ind tetap berusaha memberikan yang terbaik untuk anak didiknya baik dalam iman,karakter,ketrampilan dan intelektualitasnya. Saya bangga menjadi alumni Hua Ind . Tetap Bersemangat !!!",D
1478,"
Salah satu SMA terbaik di Indonesia. Satu diantara sedikit SMA dimana siswa berasal dari seluruh Indonesia dan karenanya merupakan tempat belajar budaya Indonesia terbaik. Belajar untuk mengerti perbedaan budaya sebagai kekuatan. Belajar tentang INDONESIA.
Sooooooo proud to be one of the Alumni =)",D
1479,"
Sekolah yg baik. Fasilitas sekolah mereka memadai serta kualitas mengajar jg baik. Sistem mengajar sekolah ini melatih anak2 utk menjadi rajin dan selalu siap menjalankan tgs yg ada.",D
1480,"
Salah satu sekolah terbaik di Indonesia",D
1481,"
Disiplinnya MANTAP banget!",D
1482,"
Kedisiplinan dan tanggung jawab yg diajarkan saat saya sekolah SMP dan SMA di HUA IND Malang , terus menerus lengket di masa2 selanjutnya hingga sekarang , sehingga semua yg kami kerjakan bisa tuntas sampai tujuan akhir dan mencapai kesuksesan",D
1483,"
Menjadi lulusan SMAK Kolese Santo Yusup merupakan kelebihan utama dalam hidup saya. Dari sisi akademis memudahkan saya mengikuti pembelajaran saat kuliah. Seusai kuliah saya juga bertemu dengan alumni Kosayu yang menjadi rekan kerja saya. Nyatanya, flow study di SMAK Kosayu membuat mental kami lebih unggul daripada yang lain.",D
1484,"
Lingkungan sekolah yg nyaman..guru2 yg kompeten..",D
1485,"Sekolah ini selalu yang terbaik untukku! Toleransi dan rasa hormat antar dan satu sama lain sangat terasa! Terutama bidang: fisika, matematika, kimia, dan bahasa Inggris adalah kelas satu!",D
1486,"
Adalah sekolah yang terkenal karena mengajarkan kedisiplinan, memiliki guru yang baik dalam bidangnya, perhatian dengan murid, salah satu sekolah di Malang yang menghasilkan nilai akademis terbaik, menciptakan banyak individu yang berhasil dari sisi karakter , dengan slogan Tetap Bersemangat. Semoga tetap dipertahankan bahkan lebih baik lagi.",D
1487,"
Tidak terlupakan
Banyak kenangan indah",D
1488,"
Sekolah disini mulai SMP-SMA pengalaman yg sangat menyenangkan. Ditambah guru2 nya yg hebat. Banyak mendapat pengalaman baru dr teman baru. Teman yg berasal dr sabang sampai merauke... Slalu mencetak prestasi akademik dan non akademik. Maju terus Kosayu.. TETAP BERSEMANGAT...",D
1489,"
The best school at Malang, guru2nya baik, fasilitas banyak dan lengkap, lapangan luas, halaman banyak, bener2 mencerminkan sekolah yg sehat utk generasi mendatang...",D
1490,"
Sekolah yg bagus",D
1491,"
Semua yang kamu butuhkan untuk menjadi siswa paripurna ada di Hua-Ind",D
1492,"
Sekolah dengan lingkungan terbaik, asri, pepohonan rindang, taman terawat, fasilitas lengkap. Tiada masa seindah masa masa SMA.",D
1493,"
kolese st yusup top markotop",D
1494,"
Selain pendidikan yg bagus, byk hal positif dan byk teman dr berbagai daerah yg bisa saya dpt di Kosayu..",D
1495,"
Salah satu SMA bagus di Malang.
Mengedepankan disiplin, pembangunan manusia baik dari segi ilmu akademisi juga karakter.
Fasilitasnya lengkap, lapangan olah raga bagus.
Tapi saya keburu lulus, gedungnya jadi... Hahaha",D
1496,"
Kedisiplinan sangat baik, pengembangan potensi diri sangat diperhatikan, guru-gurunya berkualitas, dan fasilitas yang diberikan cukup lengkap",D
1497,"
Guru-gurunya jelas dalam menjelaskan materi. Fasilitasnya juga cukup untuk kemudahan kegiatan belajar mengajar.",D
1498,"
Kedisipilinan, kekuatan mental, kemampuan berorganisasi dilatih dengan sangat baik di SMAK Kosayu dan semuanya sangat membantu saya dalam dunia kerja dan dalam kehidupan sehari- hari..klo ada bintang 10 saya kasih bintang 10 buat ratingnya..TETAP BERSEMANGAT!",D
1499,"
Tanpa sekolah ini, jalan hidup saya pasti berbeda dengan hidup saya sekarang ini. Ada 2 hal. Pertama, sekolah ini adalah tempat saya mendapatkan pendidikan terbaik selama hidup saya. Kedua, yang tidak kalah penting adalah tempat saya mendapatkan teman-teman terbaik, teman-teman seumur hidup saya.",D
1500,"
Salah satu sekolah unggulan di Kota Malang, fasilitas lengkap, guru disiplin dan lihai dalam mengajar, lokasi strategis, bidang ekstrakurikuler jg bervariasi, di sekolah ini siswa akan belajar tentang toleransi karena siswa berasal dari seluruh penjuru Indonesia.",D
